AA-004|IN_REPAIR
AA-007|IN_REPAIR
AA-009|IN_REPAIR
AA-013|IN_REPAIR
AA-014|IN_REPAIR
AA-018|IN_REPAIR
AA-024|IN_REPAIR
AA-028|IN_REPAIR
AP-201|IN_REPAIR
AP-206|IN_REPAIR
AP-208|IN_REPAIR
AP-211|IN_REPAIR
AP-218|IN_REPAIR
AP-228|IN_REPAIR
AP-234|IN_REPAIR
AP-240|IN_REPAIR
AC-601|IN_REPAIR
AC-605|IN_REPAIR
AC-608|IN_REPAIR
AC-621|IN_REPAIR
AC-659|IN_REPAIR
AP-232|IN_REPAIR
AP-242|IN_REPAIR
AC-650|IN_REPAIR
AC-622|IN_REPAIR
AC-627|IN_REPAIR
AC-639|IN_REPAIR
AA-025|IN_REPAIR
AP-202|IN_REPAIR
AP-231|IN_REPAIR
AC-615|WITHOUT_ENERGY
AC-644|WITHOUT_ENERGY
AA-002|IN_REPAIR
AP-223|IN_REPAIR
AC-606|IN_REPAIR
AP-214|WITHOUT_ENERGY
AA-029|IN_REPAIR
AC-616|IN_REPAIR
AC-658|WITHOUT_ENERGY
AA-016|IN_REPAIR
AA-005|IN_REPAIR
