AA-002|IN_REPAIR
AA-004|IN_REPAIR
AA-007|IN_REPAIR
AA-009|IN_REPAIR
AA-010|IN_REPAIR
AA-012|IN_REPAIR
AA-014|IN_REPAIR
AA-021|IN_REPAIR
AA-024|IN_REPAIR
AA-029|IN_REPAIR
AP-206|IN_REPAIR
AP-208|IN_REPAIR
AP-218|IN_REPAIR
AP-219|IN_REPAIR
AP-233|IN_REPAIR
AP-237|IN_REPAIR
AC-637|IN_REPAIR
AC-659|WITHOUT_ENERGY
AP-210|IN_REPAIR
AA-016|IN_REPAIR
AP-227|IN_REPAIR
AP-240|IN_REPAIR
AC-617|WITHOUT_ENERGY
AC-616|IN_REPAIR
AP-226|IN_REPAIR
AA-017|IN_REPAIR
AC-625|WITHOUT_ENERGY
AC-618|WITHOUT_ENERGY
AP-213|IN_REPAIR
AA-013|IN_REPAIR
AA-020|IN_REPAIR
AP-242|IN_REPAIR
AC-628|IN_REPAIR
AA-003|IN_REPAIR
AA-027|IN_REPAIR
AC-655|WITHOUT_ENERGY
AA-023|IN_REPAIR
